[0.03 - 0.37] Going
[32.74 - 33.29] confident,
[33.57 - 34.19] trustworthy,
[34.37 - 34.45] and
[34.53 - 35.19] professional
[35.35 - 35.41] in
[35.51 - 35.99] interviews,
[36.33 - 36.45] with
[36.53 - 36.99] practical
[37.06 - 37.30] tips
[37.36 - 37.44] and
[37.58 - 38.20] exercises
[38.26 - 38.34] to
[38.40 - 38.84] practice.
[39.30 - 39.62] Perfect
[39.68 - 39.78] for
[39.86 - 40.06] young
[40.12 - 40.48] students,
[40.68 - 41.31] professionals
[41.37 - 41.43] in
[41.47 - 41.83] Brazil,
[42.11 - 42.17] or
[42.37 - 42.67] anyone
[42.75 - 43.15] preparing
[43.21 - 43.35] for
[43.41 - 43.45] an
[43.63 - 44.37] English-speaking
[44.45 - 44.69] job
[44.73 - 45.92] interview.
[45.90 - 46.20] What
[46.32 - 46.40] is
[46.52 - 46.82] body
[46.88 - 47.24] language?
[47.86 - 48.16] Body
[48.22 - 48.58] language
[48.66 - 49.06] includes
[49.08 - 49.26] your
[49.34 - 49.78] movements,
[50.09 - 50.45] hands,
[50.71 - 50.99] legs
[51.11 - 51.19] and
[51.35 - 51.57] arms,
[51.85 - 52.19] facial
[52.27 - 52.83] expressions,
[53.05 - 53.61] posture,
[53.81 - 53.93] how
[53.99 - 54.11] you
[54.21 - 54.37] sit
[54.49 - 54.57] or
[54.65 - 55.03] stand,
[55.40 - 55.50] and
[55.58 - 55.90] voice,
[56.28 - 56.58] tone
[56.76 - 56.84] and
[56.90 - 57.34] volume.
[57.98 - 58.20] Using
[58.26 - 58.32] it
[58.38 - 59.00] effectively
[59.02 - 59.26] can
[59.30 - 59.46] help
[59.50 - 59.60] you
[59.68 - 60.06] connect
[60.12 - 60.25] with
[60.27 - 60.37] the
[60.47 - 60.99] interviewer
[61.21 - 61.29] and
[61.41 - 61.61] show
[61.65 - 61.89] you're
[61.93 - 62.01] the
[62.05 - 62.23] right
[62.29 - 62.61] person
[62.65 - 62.75] for
[62.79 - 62.87] the
[62.91 - 63.97] job.
[63.95 - 64.31] Top
[64.33 - 64.65] 10
[64.73 - 65.06] Body
[65.09 - 65.48] Language
[65.56 - 65.80] Tips
[65.86 - 65.98] for
[66.12 - 66.62] Interviews
[67.34 - 67.62] Follow
[67.68 - 67.82] these
[67.90 - 68.18] tips
[68.26 - 68.36] to
[68.42 - 68.96] communicate
[69.06 - 69.62] confidence
[69.75 - 69.83] and
[69.89 - 70.69] professionalism.
[71.31 - 71.55] Walk
[71.67 - 72.35] confidently.
[72.73 - 72.93] Enter
[72.99 - 73.05] the
[73.11 - 73.29] room
[73.35 - 73.45] with
[73.53 - 73.55] a
[73.63 - 74.03] smile,
[74.25 - 74.66] shoulders
[74.72 - 75.00] back,
[75.14 - 75.22] and
[75.32 - 75.70] steady
[75.74 - 76.10] steps.
[76.62 - 76.78] Make
[76.80 - 77.04] eye
[77.10 - 77.54] contact
[77.60 - 77.70] with
[77.74 - 77.82] the
[77.88 - 78.36] interviewer
[78.46 - 78.56] to
[78.62 - 78.80] show
[78.90 - 80.11] confidence.
[80.09 - 80.43] Give
[80.45 - 80.47] a
[80.77 - 81.11] firm
[81.21 - 81.81] handshake.
[82.37 - 82.43] In
[82.55 - 83.23] English-speaking
[83.29 - 83.69] countries
[83.83 - 84.01] like
[84.07 - 84.13] the
[84.29 - 84.61] UK
[84.69 - 84.75] or
[84.89 - 85.36] USA,
[85.73 - 85.78] a
[85.83 - 86.22] strong
[86.28 - 86.86] handshake
[87.00 - 87.22] shows
[87.34 - 87.66] trust
[87.76 - 87.84] and
[87.96 - 88.36] interest.
[88.88 - 89.08] Wait
[89.12 - 89.24] for
[89.28 - 89.36] the
[89.46 - 89.92] interviewer
[90.02 - 90.10] to
[90.18 - 90.54] extend
[90.58 - 90.74] their
[90.78 - 91.00] hand
[91.12 - 91.47] first,
[91.78 - 91.97] then
[92.05 - 92.27] shake
[92.41 - 92.85] firmly
[92.89 - 93.19] for
[93.29 - 93.47] two
[93.53 - 93.59] to
[93.63 - 93.85] three
[93.91 - 94.31] seconds.
[95.23 - 95.69] Smile
[95.87 - 96.41] naturally.
[96.95 - 97.29] Smile
[97.37 - 97.49] for
[97.61 - 97.83] two
[97.92 - 98.00] to
[98.06 - 98.30] three
[98.38 - 98.74] seconds
[98.82 - 98.98] when
[99.06 - 99.38] meeting
[99.44 - 99.54] the
[99.64 - 100.12] interviewer
[100.24 - 100.34] to
[100.40 - 100.68] appear
[100.78 - 101.18] friendly.
[101.68 - 101.88] Laugh
[101.94 - 101.98] at
[102.00 - 102.18] their
[102.22 - 102.56] jokes,
[102.80 - 102.94] but
[103.00 - 103.16] not
[103.20 - 103.36] your
[103.46 - 103.58] own,
[103.86 - 103.94] to
[104.00 - 104.22] build
[104.27 - 105.27] rapport.
[105.25 - 105.91] Control
[105.95 - 106.13] your
[106.19 - 106.63] breathing.
[107.07 - 107.43] Before
[107.51 - 107.61] the
[107.73 - 108.11] interview,
[108.29 - 108.47] take
[108.49 - 108.83] 10
[108.92 - 109.09] deep
[109.19 - 109.58] breaths,
[110.00 - 110.36] inhale
[110.42 - 110.52] for
[110.54 - 110.80] 3
[110.86 - 111.26] seconds,
[111.48 - 111.72] hold
[111.80 - 111.92] for
[111.94 - 112.26] 3,
[112.74 - 113.14] exhale
[113.18 - 113.30] for
[113.32 - 113.64] 3,
[114.05 - 114.13] to
[114.19 - 114.39] stay
[114.45 - 114.75] calm.
[115.37 - 115.61] During
[115.67 - 115.77] the
[115.87 - 116.27] interview,
[116.65 - 117.09] inhale
[117.13 - 117.29] when
[117.45 - 117.69] asked
[117.77 - 117.79] a
[117.85 - 118.31] question
[118.36 - 118.66] and
[118.78 - 119.10] speak
[119.16 - 119.36] while
[119.38 - 120.08] exhaling
[120.16 - 120.30] for
[120.34 - 120.38] a
[120.46 - 120.94] confident
[121.00 - 122.02] voice.
[122.00 - 122.74] Maintain
[122.80 - 123.12] eye
[123.20 - 123.81] contact.
[124.35 - 124.53] Look
[124.57 - 124.61] at
[124.65 - 124.77] the
[124.85 - 125.43] interviewer's
[125.71 - 125.85] eyes
[125.95 - 126.09] for
[126.15 - 126.37] about
[126.39 - 126.85] 70%
[126.97 - 127.33] of
[127.37 - 127.49] the
[127.53 - 127.89] time
[127.93 - 128.15] to
[128.21 - 128.41] show
[128.45 - 128.95] interest.
[129.47 - 129.69] Every
[129.77 - 129.95] two
[130.03 - 130.43] seconds,
[130.75 - 130.99] shift
[131.03 - 131.17] your
[131.23 - 131.55] gaze
[131.63 - 131.73] to
[131.77 - 131.93] their
[132.01 - 132.34] nose,
[132.57 - 132.84] mouth,
[133.00 - 133.06] or
[133.18 - 133.64] forehead
[133.68 - 134.00] to
[134.06 - 134.36] avoid
[134.44 - 134.88] staring.
[134.90 - 135.98] Nod
[136.14 - 136.24] and
[136.34 - 136.66] listen
[136.88 - 137.32] actively.
[137.36 - 138.16] Nod
[138.20 - 138.34] your
[138.38 - 138.56] head
[138.68 - 139.06] gently
[139.08 - 139.34] while
[139.36 - 139.46] the
[139.60 - 140.08] interviewer
[140.16 - 140.52] speaks
[140.76 - 140.84] and
[140.96 - 141.08] use
[141.14 - 141.54] phrases
[141.62 - 141.82] like
[142.17 - 142.23] I
[142.33 - 142.57] see
[142.59 - 142.63] or
[143.09 - 143.63] yes
[144.03 - 144.13] to
[144.21 - 144.41] show
[144.47 - 144.61] you're
[144.63 - 144.87] paying
[144.93 - 146.07] attention.
[146.05 - 146.43] Keep
[146.53 - 146.99] Palms
[147.35 - 147.43] Up
[148.07 - 148.25] Show
[148.31 - 148.45] your
[148.49 - 148.91] palms
[149.01 - 149.38] facing
[149.62 - 149.69] up
[149.79 - 149.94] when
[150.00 - 150.54] gesturing
[150.56 - 150.74] to
[150.80 - 151.06] appear
[151.24 - 151.52] open
[151.68 - 151.76] and
[151.84 - 152.24] honest.
[152.68 - 152.98] Hiding
[153.02 - 153.16] your
[153.18 - 153.52] palms
[153.78 - 153.90] can
[153.94 - 154.08] make
[154.10 - 154.20] you
[154.26 - 154.48] seem
[154.56 - 154.76] less
[154.86 - 155.52] trustworthy.
[156.41 - 156.56] Use
[156.66 - 157.25] Controlled
[157.45 - 158.07] Gestures
[158.79 - 158.91] Use
[158.97 - 159.19] hand
[159.23 - 159.71] gestures
[159.79 - 159.87] to
[160.01 - 160.51] emphasize
[160.59 - 160.93] points,
[161.15 - 161.27] but
[161.35 - 161.57] don't
[161.73 - 162.17] overdo
[162.25 - 162.31] it.
[162.81 - 163.09] Avoid
[163.24 - 163.69] fidgeting,
[164.02 - 164.36] tapping
[164.44 - 164.78] fingers,
[164.96 - 165.04] or
[165.14 - 165.44] touching
[165.48 - 165.62] your
[165.68 - 165.98] face
[166.34 - 166.42] as
[166.44 - 166.78] these
[166.84 - 166.98] can
[167.04 - 167.38] signal
[167.46 - 168.06] nervousness
[168.26 - 168.34] or
[168.36 - 169.86] dishonesty.
[169.84 - 170.28] Sit
[170.41 - 170.54] with
[170.59 - 170.91] good
[171.01 - 171.57] posture.
[171.97 - 172.15] Sit
[172.21 - 172.31] with
[172.37 - 172.51] your
[172.57 - 172.83] back
[172.91 - 173.35] straight,
[173.73 - 174.17] shoulders
[174.29 - 174.71] slightly
[174.79 - 175.05] back,
[175.19 - 175.29] and
[175.35 - 175.62] legs
[175.81 - 176.20] slightly
[176.28 - 176.62] apart,
[177.08 - 177.44] angling
[177.46 - 177.62] your
[177.68 - 177.98] knees
[178.06 - 178.30] toward
[178.32 - 178.40] the
[178.50 - 179.00] interviewer.
[179.52 - 179.84] Avoid
[179.94 - 180.26] leaning
[180.34 - 180.65] back,
[180.94 - 181.10] which
[181.27 - 181.49] looks
[181.57 - 181.97] lazy,
[182.37 - 182.47] or
[182.55 - 182.97] forward
[183.11 - 183.29] too
[183.35 - 183.57] much,
[183.79 - 183.95] which
[184.01 - 184.31] seems
[184.39 - 184.89] aggressive.
[185.69 - 186.12] Mirror
[186.28 - 186.72] subtly.
[187.28 - 187.62] Copy
[187.66 - 187.76] the
[187.88 - 188.42] interviewer's
[188.48 - 188.76] body
[188.80 - 189.22] language,
[189.58 - 189.94] e.g.
[190.08 - 190.48] placing
[190.54 - 190.58] a
[190.64 - 190.88] hand
[190.96 - 191.02] on
[191.06 - 191.21] their
[191.25 - 191.54] leg,
[191.91 - 192.41] subtly,
[192.55 - 192.65] to
[192.69 - 192.89] build
[192.95 - 192.97] a
[193.01 - 193.49] connection.
[194.07 - 194.17] Be
[194.21 - 194.53] careful
[194.69 - 194.89] not
[194.93 - 195.01] to
[195.07 - 195.23] make
[195.29 - 195.33] it
[195.47 - 196.05] obvious.
